number,first_name,last_name,gender,birth_date,employee_type,annual_salary
483,Lenord,Kihn,M,1994-07-01,temporary,64598
478,Palma,Beahan,F,1972-05-06,permanent,124103
348,Hebert,Muller,M,1990-09-04,permanent,100324
757,Virginia,Ullrich,M,1991-09-23,permanent,144957
937,Roby,Hudson,M,1997-01-15,temporary,137659
264,Jaeda,Effertz,M,1994-03-21,permanent,131924
165,Jalissa,Bogisich,F,1974-01-07,permanent,101133
211,Lexie,Robel,M,1997-09-05,temporary,106595
510,Billy,Reilly,M,1977-04-30,temporary,75300
940,Marlana,Moen,F,1979-05-05,permanent,140611
175,Aja,Lynch,M,1986-08-21,permanent,69271
772,Jabez,McLaughlin,M,1971-01-12,permanent,141535
950,Adrienne,Stokes,F,1982-07-28,permanent,97453
906,Florene,O'Connell,M,1979-04-03,permanent,133971
325,Migdalia,Sauer,M,1992-08-24,permanent,144271
194,Ace,Upton,M,1987-08-25,permanent,120120
493,Jelani,Quitzon,M,1991-03-20,permanent,93442
901,Nikki,D'Amore,M,1985-08-09,permanent,108287
712,Yahir,Kertzmann,F,1970-10-27,temporary,95140
936,Marsha,Ledner,F,1982-12-23,permanent,143806
327,Amarion,Larkin,M,1987-06-28,permanent,145321
431,Maynard,Zieme,M,1982-10-12,permanent,76354
542,Mat,Nienow,F,1995-06-14,temporary,141463
78,Brannon,Goldner,F,1985-04-09,permanent,72290
90,Zilpha,Kreiger,F,1980-07-21,temporary,91584
855,Carla,Witting,F,1977-02-07,permanent,96996
621,Saint,Hayes,F,1993-08-09,temporary,128053
948,Gerry,Kunze,F,1990-11-21,temporary,110341
232,Urijah,McClure,F,1971-04-29,temporary,105555
377,Malcolm,Schmitt,M,1974-03-30,permanent,59482
458,Desmond,Pfeffer,F,1970-04-07,permanent,72361
171,Hope,Zboncak,F,1989-07-18,permanent,109051
163,January,Balistreri,F,1995-10-26,temporary,63802
409,Brionna,Block,F,1973-04-17,temporary,55607
88,Zain,Franecki,F,1972-11-03,permanent,141171
927,Jaelynn,Corkery,F,1999-10-21,permanent,136524
397,Millicent,Moen,M,1983-03-15,permanent,116407
289,Jeryl,Lesch,F,1971-05-24,permanent,144888
307,Percival,Flatley,F,1982-12-11,permanent,67961
982,Riley,Orn,M,1978-01-09,permanent,82041
679,Katelin,Huels,M,1996-12-17,permanent,65039
700,Jaiden,Hirthe,M,1970-09-26,permanent,62770
911,Hildred,McKenzie,M,1970-03-23,permanent,98515
428,Mansfield,Mosciski,M,1986-03-22,permanent,135099
609,Alana,Gaylord,F,1976-10-27,temporary,71825
442,Kyrie,Sanford,M,1992-04-15,permanent,75514
238,Addison,Sanford,M,1977-09-20,permanent,111234
969,Marget,West,M,1979-10-11,permanent,79230
245,Gladis,Yost,M,1996-12-30,permanent,74821
72,Laisha,Collier,F,1981-10-23,permanent,131899
